End Station,End Latitude,End Longitude,Total Trips Ended
E 170 St & Webster Ave,40.836103,-73.907199,337
E 171 St & Webster Ave,40.838379,-73.905838,154
E 174 St & Longfellow Ave,40.836274,-73.884308,7
E 19 St & 3 Ave,40.73624527,-73.98473765,31934
E 2 St & 2 Ave,40.72502876,-73.99069656,33191
E 2 St & Avenue A,40.72307749,-73.98583621,35542
E 2 St & Avenue B,40.72217444,-73.98368779,38306
E 2 St & Avenue C,40.7208736,-73.98085795,22805
E 20 St & 2 Ave,40.73587678,-73.98205027,25776
E 20 St & FDR Drive,40.73314259,-73.97573881,29118
E 20 St & Park Ave,40.73827428,-73.98751968,34632
E 23 St & 1 Ave,40.736502,-73.97809472,38483
E 24 St & Park Ave S,40.74096374,-73.98602213,30010
E 25 St & 1 Ave,40.7381765,-73.97738662,27046
E 25 St & 2 Ave,40.73912601,-73.97973776,29409
E 27 St & 1 Ave,40.739445,-73.976806,31833
E 30 St & Park Ave S,40.74444921,-73.98303529,24896
E 31 St & 3 Ave,40.74394314,-73.97966069,38096
E 32 St & Park Ave,40.7457121,-73.98194829,35928
